#sommet;position;couleur;etiquette
86;0.0185639690608 0.00358765409328;0 0 255 40;"JAKARTA **"
87;0.0207711178809 0.00194710749201;0 0 255 40;"BROKEN HILL"
88;0.0125747667626 0.00662772590294;255 255 0 40;"ROMA **"
89;0.020072394982 0.00610661599785;0 0 255 40;"FUKUOKA"
90;0.0204825513065 0.00621232204139;0 0 255 40;"NAGOYA"
91;0.0203884691 0.00618272367865;0 0 255 40;"OSAKA ** (OSA. KIX)"
92;0.019988887012 0.00620703492314;0 0 255 40;"PUSAN"
93;0.0198493469507 0.00635607820004;0 0 255 40;"SEOUL ** (ICN. GMP. SEL)"
94;0.0191590897739 0.00435296120122;0 0 255 40;"KOTA KINABALU"
95;0.0182489827275 0.00417431956157;0 0 255 40;"KUALA LUMPUR"
96;0.0187965370715 0.0040707285516;0 0 255 40;"KUCHING"
97;0.0154488570988 0.00269021536224;0 255 0 40;"MAURITIUS"
98;0.0223852526397 0.00394176784903;0 0 255 40;"NAURU ISLAND"
99;0.0211358144879 0.00337835680693;0 0 255 40;"PORT MORESBY"
100;0.0224497187883 0.00213420530781;0 0 255 40;"Norfolk Island"
101;0.0227414462715 0.00121879740618;0 0 255 40;"CHRISTCHURCH"
102;0.0226040501148 0.00106763863005;0 0 255 40;"DUNEDIN"
103;0.0229190345854 0.00157502340153;0 0 255 40;"HAMILTON"
104;0.0215343050659 0.00219022925012;0 0 255 40;"GOLD COAST"
105;0.0229370221496 0.00141963455826;0 0 255 40;"PALMERSTON"
106;0.0194741114974 0.00489734625444;0 0 255 40;"MANILA"
107;0.0183853283525 0.00405857199803;0 0 255 40;"SINGAPORE ** (SIN. XSP)"
108;0.0135842021555 0.00231178989634;0 255 0 40;"JOHANNESBURG"
109;0.0137649588287 0.00284031638876;0 255 0 40;"HARARE"
110;0.0168632026762 0.00441638333723;0 0 255 40;"COLOMBO"
111;0.018173944205 0.00484872143716;0 0 255 40;"BANGKOK"
112;0.018034402281 0.00449249148369;0 0 255 40;"PHUKET"
113;0.0152469482273 0.00552840670571;96 159 191 40;"ABU DHABI"
114;0.015308259055 0.00557808903977;96 159 191 40;"DUBAI"
115;0.0117872105911 0.00722075067461;255 255 0 40;"LONDON **"
116;0.0116550792009 0.00736028049141;255 255 0 40;"MANCHESTER"
117;0.00623343419284 0.00662668654695;255 0 255 40;"CHICAGO **"
118;0.00178218074143 0.00532968062907;255 0 255 40;"HONOLULU"
119;0.00190587807447 0.00520494719967;255 0 255 40;"KONA. HAWAII"
120;0.00449458416551 0.00626517320052;255 0 255 40;"LAS VEGAS"
121;0.00428952462971 0.00612881174311;255 0 255 40;"LOS ANGELES ** (LAX. ONT)"
122;0.00403689686209 0.00636242330074;255 0 255 40;"SAN FRANCISCO"
123;0.0185147300363 0.0053108134307;0 0 255 40;"HANOI/NOIBAI"
124;0.0185638591647 0.00466281874105;0 0 255 40;"HO CHI MINH CITY"
125;0.000890024937689 0.003099296242;0 0 255 40;"APIA"
126;0.0128347501159 0.00703471014276;255 255 0 40;"VIENNA"
127;0.0135450903326 0.00739305093884;255 255 0 40;"MINSK"
128;0.0127787264064 0.00695754494518;255 255 0 40;"GRAZ"
129;0.0125186927617 0.00697445636615;255 255 0 40;"INNSBRUCK"
130;0.0126983914524 0.00703576393425;255 255 0 40;"LINZ"
131;0.0126233408228 0.00700828107074;255 255 0 40;"SALZBURG"
132;0.0132829425856 0.00668482482433;255 255 0 40;"SOFIA"
133;0.012957368046 0.00667636934668;255 255 0 40;"DUBROVNIK"
134;0.0139317978173 0.00618883594871;255 255 0 40;"LARNACA"
135;0.0127142462879 0.00715204095468;255 255 0 40;"PRAGUE"
136;0.0126011418179 0.00750404084101;255 255 0 40;"COPENHAGEN ** (CPH. RKE)"
137;0.0133717358112 0.00774822337553;255 255 0 40;"TALLINN"
138;0.0133823072538 0.00779262930155;255 255 0 40;"HELSINKI"
139;0.0123569630086 0.00663514249027;255 255 0 40;"AJACCIO"
140;0.0121851926669 0.00688936188817;255 255 0 40;"ANNECY"
141;0.0121096121147 0.00676093343645;255 255 0 40;"AVIGNON"
142;0.0123981889337 0.00668482482433;255 255 0 40;"BASTIA"
143;0.0117015894502 0.00673344638199;255 255 0 40;"BIARRITZ"
144;0.0119489394128 0.00696177082136;255 255 0 40;"BOURGE"
145;0.0117702977732 0.0070960172452;255 255 0 40;"CAEN"
146;0.0123569630086 0.00667425431311;255 255 0 40;"CALVI"
147;0.0122438585386 0.00673873350024;255 255 0 40;"CANNES"
148;0.0121740913019 0.0068666357547;255 255 0 40;"CHAMBERY"
149;0.0122660575435 0.00702625047415;255 255 0 40;"COLMAR"
150;0.0123855033889 0.0066140005365;255 255 0 40;"FIGARI"
151;0.0121614076197 0.00684126745909;255 255 0 40;"GRENOBLE"
152;0.0117037035525 0.00692583154887;255 255 0 40;"LA ROCHELLE"
153;0.0115800276399 0.00700616976246;255 255 0 40;"LORIENT"
154;0.012708962895 0.00693534500897;255 255 0 40;"KLAGENFURT"
155;0.0120504172519 0.00674084853381;255 255 0 40;"MONTPELLIER"
156;0.0116973612458 0.00696705793962;255 255 0 40;"NANTES"
157;0.0119986217469 0.00695754494518;255 255 0 40;"NEVERS"
158;0.0122565440834 0.00674613192677;255 255 0 40;"NICE ** (NCE. MCM)"
159;0.0117702977732 0.0069142030552;255 255 0 40;"NIORT"
160;0.0118178650737 0.00693111866713;255 255 0 40;"POITIERS"
161;0.0122150015086 0.00690923584625;255 255 0 40;"st tropez"
162;0.0122829694301 0.00705479085445;255 255 0 40;"STRASBOURG"
163;0.0117988558486 0.00671538989991;255 255 0 40;"TARBES"
164;0.012175148353 0.00671125063673;255 255 0 40;"TOULON"
165;0.0118865733966 0.00674295984209;255 255 0 40;"TOULOUSE"
166;0.0126497671008 0.00730531476438;255 255 0 40;"BERLIN **"
167;0.0123559050262 0.00734125357121;255 255 0 40;"BREMEN"
168;0.0122523140162 0.00720278080553;255 255 0 40;"COLOGNE"
169;0.0126719661057 0.00721969269216;255 255 0 40;"DRESDEN"
170;0.0122269466519 0.00722920615226;255 255 0 40;"DUSSELDORF"
171;0.0124943787232 0.00721017969772;255 255 0 40;"ERFURT"
172;0.0124320136383 0.00737825036049;255 255 0 40;"HAMBURG"
173;0.0124140437692 0.00730319973081;255 255 0 40;"HANOVER"
174;0.0125863449648 0.00723660551012;255 255 0 40;"LEIPZIG"
175;0.0125461760908 0.00704316608608;255 255 0 40;"MUNICH"
176;0.012501780875 0.00711610168219;255 255 0 40;"NUREMBERG"
177;0.0122501989827 0.00709813227877;255 255 0 40;"SAARBRUCKEN"
178;0.0123823313043 0.00706430431455;255 255 0 40;"STUTTGART"
179;0.0133305098861 0.00623029144481;255 255 0 40;"CHANIA"
180;0.0134478444234 0.00642901752144;255 255 0 40;"CHIOS"
181;0.0133960470557 0.00621760543436;255 255 0 40;"IRAKLION"
182;0.0131930941716 0.00632965285331;255 255 0 40;"KALAMATA"
183;0.0135260634124 0.0062281768769;255 255 0 40;"KARPATHOS"
184;0.0133431954309 0.00657488964498;255 255 0 40;"KAVALA"
185;0.013104300946 0.00639730505645;255 255 0 40;"KEFFALONIA"
186;0.0135302934796 0.00631591305137;255 255 0 40;"KOS"
187;0.0134066175669 0.00635079480708;255 255 0 40;"MIKONOS"
188;0.0134848412126 0.00649244012311;255 255 0 40;"MITILINI"
189;0.0134087326005 0.00632965285331;255 255 0 40;"NAXOS. CYCLADES ISLANDS"
190;0.0131772365421 0.00640258844942;255 255 0 40;"PATRAS/ARAXOS"
191;0.0131158744916 0.00644549028948;255 255 0 40;"PREVEZA / LEFKAS"
192;0.0135820871219 0.00628420012072;255 255 0 40;"RODOS"
193;0.013504925184 0.00636770715937;255 255 0 40;"SAMOS"
194;0.0132892830297 0.00646178424358;255 255 0 40;"SKIATHOS"
195;0.0134150739759 0.0062852576375;255 255 0 40;"THIRA (SANTORIN)"
196;0.0130186788738 0.00698502734303;255 255 0 40;"BUDAPEST"
197;0.0150535088032 0.00623980490491;0 0 255 40;"Tehran"
198;0.011260798201 0.00726408837363;255 255 0 40;"CORK"
199;0.0140112526715 0.00600513629615;255 255 0 40;"TEL AVIV"
200;0.012515520677 0.00680109858513;255 255 0 40;"BOLOGNA"
201;0.0127047328278 0.00656960578635;255 255 0 40;"NAPOLI"
202;0.0125842299312 0.00685817981139;255 255 0 40;"VENICE"
203;0.0206981860101 0.00624508876354;0 0 255 40;"Tokyo"
204;0.0140810199082 0.006004082039;96 159 191 40;"AMMAN"
205;0.0140493065119 0.0061224703677;96 159 191 40;"BEIRUT"
206;0.0133252264932 0.00758966244757;255 255 0 40;"RIGA"
207;0.0131603237242 0.00663936883211;255 255 0 40;"SKOPJE"
208;0.010726983659 0.00604636222124;255 0 0 40;"FUNCHAL"
209;0.01076186914 0.00607384555042;255 0 0 40;"Porto Santo"
210;0.0127174183726 0.00625142967328;255 255 0 40;"MALTA"
211;0.0121402665973 0.0072397775948;255 255 0 40;"EINDHOVEN"
212;0.0122163752094 0.00734654068947;255 255 0 40;"GRONINGEN"
213;0.0121656348929 0.00720594963059;255 255 0 40;"MAASTRICHT"
214;0.0120800146833 0.00727149005979;255 255 0 40;"ROTTERDAM"
215;0.0112946219742 0.00632436946034;255 255 0 40;"FARO"
216;0.0112195713446 0.00643535889685;255 255 0 40;"LISBON"
217;0.0112491697073 0.00658828020096;255 255 0 40;"PORTO"
218;0.0134533056989 0.00679916143417;255 255 0 40;"BUCHAREST **"
219;0.0141719244421 0.00752641446888;255 255 0 40;"MOSCOU **"
220;0.0137047050521 0.00777885690331;255 255 0 40;"ST PETERSBOURG"
221;0.0116434507072 0.00631274050102;255 255 0 40;"ALMERIA"
222;0.0109362807125 0.0058127543889;255 0 0 40;"ARRECIFE"
223;0.0109172537923 0.00578527152538;255 0 0 40;"Fuerteventura"
224;0.0118844592944 0.0064416998066;255 255 0 40;"IBIZA"
225;0.0120525313541 0.00651358161122;255 255 0 40;"MAHON"
226;0.0118696605787 0.00658651720732;255 255 0 40;"REUS"
227;0.0125578045845 0.00763724464923;255 255 0 40;"GOTEBORG ** (GOT. GSE)"
228;0.0126920510083 0.00764040602371;255 255 0 40;"JONKOPING"
229;0.0126465940848 0.00749981123954;255 255 0 40;"MALMO"
230;0.0129355061799 0.00775999715552;255 255 0 40;"STOCKHOLM **"
231;0.0124046718702 0.00698823295534;255 255 0 40;"ALTENRHEIN"
232;0.0122745139524 0.0069522568956;255 255 0 40;"BERNE"
233;0.0140968747437 0.00610027089715;96 159 191 40;"DAMASCUS"
234;0.0124478684738 0.00631379848346;0 255 0 40;"Tunis"
235;0.0138717042282 0.00651037320495;255 255 0 40;"ANKARA"
236;0.013626486063 0.00657488964498;255 255 0 40;"ISTANBUL"
237;0.0135220121592 0.00640470348299;255 255 0 40;"IZMIR"
238;0.0140175940469 0.00704950746149;255 255 0 40;"DNEPROPETROVSK"
239;0.0137311350554 0.00717318290845;255 255 0 40;"KIEV ** (IEV. KBP)"
240;0.0137406485155 0.00692583154887;255 255 0 40;"ODESSA"
241;0.0116878477857 0.00730319973081;255 255 0 40;"BIRMINGHAM GB"
242;0.0116265378892 0.00723554752767;255 255 0 40;"BRISTOL"
243;0.0115863699466 0.00752518279478;255 255 0 40;"EDINBURGH"
244;0.011529289186 0.00752095319331;255 255 0 40;"GLASGOW ** (GLA. PIK)"
245;0.0116593074054 0.00709813227877;255 255 0 40;"JERSEY"
246;0.0117755830288 0.00726620294154;255 255 0 40;"LUTON"
247;0.011691018939 0.0074670445174;255 255 0 40;"NEWCASTLE"
248;0.0130990128964 0.00682012550533;255 255 0 40;"BELGRADE"
249;0.0149626005441 0.0065378928557;255 255 0 40;"BAKU"
250;0.00689411116764 0.00567533541471;0 255 255 40;"Green Turtle"
251;0.00688564404845 0.00556540302932;0 255 255 40;"NASSAU"
252;0.00680955033749 0.0056594805792;0 255 255 40;"FREEPORT"
253;0.00707275280729 0.0055030384101;0 255 255 40;"San Salvador"
254;0.00707696797326 0.00647341273725;255 0 255 40;"ATLANTIC CITY"
255;0.00693637318909 0.00646072719246;255 0 255 40;"BALTIMORE"
256;0.00699029956013 0.0054649845697;0 255 255 40;"George Town"
257;0.00729580083862 0.00666368287057;255 0 255 40;"BOSTON"
258;0.00703365216032 0.00545124104246;0 255 255 40;"Deadman'S Cay"
259;0.00666579417884 0.00621020700783;255 0 255 40;"CHARLOTTE"
260;0.00644274614751 0.00645966967568;255 0 255 40;"CINCINNATI"
261;0.00660765171051 0.00660343002528;255 0 255 40;"CLEVELAND"
262;0.00565630057827 0.00606028037146;255 0 255 40;"Dallas"
263;0.00653471983969 0.00666579790413;255 0 255 40;"Detroit"
264;0.00671441527084 0.00562988268211;255 0 255 40;"FORT LAUDERDALE"
265;0.00712664332241 0.00530748115852;0 255 255 40;"Inagua"
266;0.00690890103579 0.00565736601129;0 255 255 40;"Marsh Harbour"
267;0.00682644778863 0.00570599082857;0 255 255 40;"Walker'S Cay"
268;0.00670173298568 0.00571973435581;255 0 255 40;"Fort Pierce"
269;0.00673872604966 0.00626411568373;255 0 255 40;"GREENSBORO"
270;0.00657382048666 0.00618695002049;255 0 255 40;"GREENVILLE/SPARTANBURG"
271;0.00718903681263 0.00662562903017;255 0 255 40;"HARTFORD/SPRINGFIELD"
272;0.00632646214217 0.00649666972458;255 0 255 40;"INDIANAPOLIS"
273;0.00662138778716 0.00590577442199;255 0 255 40;"JACKSONVILLE"
274;0.00580005720258 0.00645755790174;255 0 255 40;"KANSAS CITY"
275;0.00588672515005 0.00682435557246;255 0 255 40;"MINNEAPOLIS"
276;0.00630109710619 0.00626834575087;255 0 255 40;"NASHVILLE"
277;0.00608651665971 0.00587617699057;255 0 255 40;"NEW ORLEANS"
278;0.00671863043681 0.00566899450496;255 0 255 40;"PALM BEACH"
279;0.00561930751428 0.00636453460902;255 0 255 40;"WICHITA"
280;0.00685817189515 0.00614995323122;255 0 255 40;"WILMINGTON. NC"
281;0.0175312552601 0.0054840114899;0 0 255 40;"DHAKA"
282;0.0174075588584 0.00541212968528;0 0 255 40;"CALCUTTA"
283;0.00787929352373 0.00505801849067;0 255 255 40;"ST JOHNS (ANTIGUA)"
284;0.00802621152252 0.00480538001284;0 255 255 40;"BARBADOS"
285;0.0137649588287 0.00730108469725;255 255 0 40;"Gomel"
286;0.011933083646 0.0071129295975;255 255 0 40;"BEAUVAIS"
287;0.0115694571286 0.00633176788688;255 255 0 40;"GRANADA"
288;0.0117280157283 0.00638567656279;255 255 0 40;"MURCIA"
289;0.0120821287856 0.00722286524251;255 255 0 40;"ANTWERP"
290;0.0121518941596 0.00718798022717;255 255 0 40;"LIEGE"
291;0.0119806518778 0.00722392275929;255 255 0 40;"OSTEND"
292;0.00769640039653 0.00602945033461;0 255 255 40;"BERMUDA KINDLEY"
293;0.013658195734 0.00376629643142;0 255 0 40;"BUJUMBURA"
294;0.00680162850767 0.00537354871631;0 255 255 40;"CIEGO DE AVILA GOMES"
295;0.0123791620135 0.00751143926755;255 255 0 40;"BILLUND"
296;0.0138844046742 0.00550409220159;0 255 0 40;"ASWAN DARAW"
297;0.0117639554664 0.0069871423766;255 255 0 40;"ANGERS"
298;0.0120279015973 0.00701282685623;255 255 0 40;"Auxerre"
299;0.0120106721297 0.00720383878797;255 255 0 40;"Kortrijk"
300;0.0120800146833 0.00717424042523;255 255 0 40;"CHARLEROI"
301;0.0115187186748 0.00704950746149;255 255 0 40;"BREST"
302;0.0119066573679 0.00694591598585;255 255 0 40;"CHATEAUROUX"
303;0.0117058176547 0.00712561514229;255 255 0 40;"CHERBOURG"
304;0.0118094086647 0.00710764620453;255 255 0 40;"DEAUVILLE"
305;0.0123960748315 0.00400519091636;0 255 0 40;"LIBREVILLE"
306;0.0107417842373 0.00482334941626;0 255 0 40;"BANJUL"
307;0.0123241925612 0.00655374769121;255 255 0 40;"ALGHERO"
308;0.0129372868687 0.00655480474234;255 255 0 40;"BRINDISI"
309;0.0139975091442 0.00581592321396;96 159 191 40;"AQABA"
310;0.0112903956324 0.00477789668366;0 255 0 40;"BAMAKO"
311;0.00793002266437 0.00490157259628;0 255 255 40;"FORT DE FRANCE"
312;0.0111931459978 0.00590365985408;0 255 0 40;"AGADIR"
313;0.0115557154641 0.00620809197426;0 255 0 40;"AL HOCEIMA"
314;0.00746808340773 0.0047461874783;0 255 255 40;"BONAIRE FLAMINGO"
315;0.0119753656909 0.00663831457496;255 255 0 40;"GERONA"
316;0.0137522732839 0.00631802435964;255 255 0 40;"ANTALYA"
317;0.0114235850051 0.0074385041371;255 255 0 40;"BELFAST ** (BFS. BHD)"
318;0.0118015864864 0.00723449001089;255 255 0 40;"Biggin Hill"
319;0.01168256253 0.00719749368727;255 255 0 40;"BOURNEMOUTH"
320;0.00716047454625 0.00658757518977;255 0 255 40;"BRIDGEPORT"
321;0.00618851976469 0.00513571081683;0 255 255 40;"Santa Cruz"
322;0.017469951883 0.00571656180546;0 0 255 40;"Paro"
323;0.00779258878902 0.00284771528095;0 255 255 40;"SANTA CRUZ"
324;0.00747338868678 0.00293016806245;0 255 255 40;"La Paz"
325;0.0101709738374 0.00636982172728;255 255 0 40;"PONTA DELGADA (ACORES)"
326;0.00751775829121 0.0032715969719;0 255 255 40;"Puerto Rico"
327;0.00761289335787 0.00514680892229;0 255 255 40;"SAN JUAN"
328;0.0129626551643 0.0067556463182;255 255 0 40;"SARAJEVO"
329;0.0132850576192 0.00271029979922;0 255 0 40;"Maun"
330;0.00871963985264 0.00222194194794;0 255 255 40;"FLORIANOPOLIS"
331;0.00855262391269 0.00206972588785;0 255 255 40;"PORTO ALEGRE"
332;0.0090557821095 0.00252848584205;0 255 255 40;"RIO DE JANEIRO **"
333;0.00884225871414 0.00248620542698;0 255 255 40;"SAO PAULO **"
334;0.0077260164544 0.00199044542387;0 255 255 40;"CORDOBA"
335;0.00958385132253 0.00346128223464;0 255 255 40;"Recife"
336;0.0093559846282 0.00315320491791;0 255 255 40;"SALVADOR"
337;0.00673342077062 0.00383923342451;0 255 255 40;"GUAYAQUIL"
338;0.00847968738526 0.00428953859955;0 255 255 40;"CAYENNE"
339;0.00856002606452 0.00398087874055;0 255 255 40;"Macapa"
340;0.00799448788166 0.00377792445943;0 255 255 40;"MANAUS ** (MAO. PLL)"
341;0.00629582814872 0.00531382579356;0 255 255 40;"CANCUN"
342;0.00480219256133 0.00550620723516;0 255 255 40;"LA PAZ MEXC"
343;0.0055146520026 0.00520917726681;0 255 255 40;"MEXICO CITY"
344;0.00935492664576 0.00373775651678;0 255 255 40;"Fortaleza"
345;0.00814144220203 0.0023741547484;0 255 255 40;"ASUNCION"
346;0.00956633873284 0.00360668124631;0 255 255 40;"Natal"
347;0.00887396745384 0.0025062863715;0 255 255 40;"Sao Jose Dos Campos"
348;0.00404747063294 0.00636876467615;255 0 255 40;"OAKLAND"
349;0.00663933949545 0.00578632904217;255 0 255 40;"ORLANDO"
350;0.00823868066072 0.00177057716064;0 255 255 40;"MONTEVIDEO"
351;0.00755108101293 0.00464946450666;0 255 255 40;"CARACAS"
352;0.00789619144052 0.00500833615661;0 255 255 40;"POINTE A PITRE"
353;0.00770486705005 0.00514680892229;0 255 255 40;"ROADTOWN/BEEF ISLAND"
354;0.00781373865902 0.00510981213301;0 255 255 40;"ST BARTHELEMY"
355;0.00770802842453 0.00514998100698;0 255 255 40;"Virgin Gorda"
356;0.00769007718191 0.00510029867291;0 255 255 40;"ST CROIX"
357;0.00767844868824 0.0051394100301;0 255 255 40;"ST THOMAS"
358;0.013366448693 0.00665945326909;255 255 0 40;"PLOVDIV"
359;0.0135636273772 0.00671859504655;255 255 0 40;"VARNA"
360;0.011999678798 0.00688037928194;255 255 0 40;"CLERMONT-FERRAND"
361;0.012281912379 0.00727149005979;255 255 0 40;"MUNSTER"
362;0.0143315400928 0.00673239259049;255 255 0 40;"SOCHI"
363;0.0132026076317 0.00813403353095;255 255 0 40;"LULEA"
364;0.0178959146142 0.0050455071032;0 0 255 40;"RANGOON"
365;0.0124151017517 0.00423140078783;0 255 0 40;"DOUALA"
366;0.0125297028571 0.00421979045495;0 255 0 40;"Yaounde"
367;0.0126465940848 0.00456859963015;0 255 0 40;"GAROUA"
368;0.0124320136383 0.00415846379474;0 255 0 40;"Kribi"
369;0.0127026177943 0.00463942391798;0 255 0 40;"MAROUA"
370;0.0126592805609 0.00444281240925;0 255 0 40;"N'Gaoundere"
371;0.0127523001283 0.0047461874783;0 255 0 40;"N'DJAMENA"
372;0.0129647701979 0.00455697486177;0 255 0 40;"SARH"
373;0.0127660436556 0.00370710180141;0 255 0 40;"BRAZZAVILLE"
374;0.011949996464 0.00437938654795;0 255 0 40;"COTONOU"
375;0.0124203851447 0.00409715482965;0 255 0 40;"BATA"
376;0.0117882676423 0.00433182064444;0 255 0 40;"ACCRA"
377;0.0106889298186 0.00491214357316;0 255 0 40;"DAKAR"
378;0.0127692129463 0.00370393041521;0 255 0 40;"KINSHASA"
379;0.00674824696034 0.00674736406654;255 0 255 40;"Toronto"
380;0.00398616679013 0.0070960172452;255 0 255 40;"Vancouver"
381;0.00833804253489 0.00708122039214;255 0 255 40;"Gander"
382;0.00712119229138 0.00686029437929;255 0 255 40;"Montreal"
383;0.00657382048666 0.00543644372374;0 255 255 40;"HAVANA"
384;0.00614676624537 0.00484554888681;0 255 255 40;"SAN SALVADOR"
385;0.0121212396771 0.00697445636615;255 255 0 40;"DIJON"
